#=====================================================
# File created:        Thu-20-Feb-2025-at-01-17-35PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.105263
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2473.0484  0.2726 
   00001    0.6676   -3688.3619  0.2838 
   00002    0.6344   -4582.9325  0.2878 
   00003    0.5900   -5161.7471  0.2796 
   00004    0.5404   -5554.3786  0.2792 
   00005    0.5376   -5860.2228  0.2900 
   00006    0.5204   -6100.3622  0.2799 
   00007    0.4968   -6349.1149  0.2821 
   00008    0.4972   -6495.9982  0.2742 
   00009    0.4912   -6666.3902  0.2798 
   00010    0.4872   -6847.3503  0.2799 
   00011    0.4732   -6959.1530  0.2798 
   00012    0.4680   -7031.9022  0.2823 
   00013    0.4608   -7156.8015  0.2773 
   00014    0.4744   -7244.7988  0.2773 
   00015    0.4680   -7289.1512  0.2855 
   00016    0.4416   -7322.8490  0.2919 
   00017    0.4716   -7427.9869  0.2924 
   00018    0.4508   -7479.4968  0.2950 
   00019    0.4448   -7546.9682  0.2981 
   00020    0.4504   -7570.3013  0.3053 
   00021    0.4468   -7680.8694  0.3141 
   00022    0.4436   -7740.1011  0.3261 
   00023    0.4372   -7770.0696  0.3231 
   00024    0.4432   -7753.0427  0.3203 
   00025    0.4396   -7774.4199  0.3190 
   00026    0.4520   -7794.6566  0.3149 
   00027    0.4124   -7800.6929  0.3154 
   00028    0.4584   -7842.4078  0.3194 
   00029    0.4420   -7866.7436  0.3218 
   00030    0.4328   -7923.2915  0.3153 
   00031    0.4408   -7904.0106  0.3128 
   00032    0.4316   -7937.7261  0.2994 
   00033    0.4304   -7937.7677  0.2958 
   00034    0.4396   -7960.9947  0.2958 
   00035    0.4276   -7985.4476  0.2959 
   00036    0.4276   -8008.5354  0.2989 
   00037    0.4448   -8005.0105  0.2996 
   00038    0.4040   -7981.2778  0.3035 
   00039    0.4324   -8004.1666  0.3050 
   00040    0.4468   -8013.2110  0.3025 
   00041    0.4308   -8060.2001  0.2981 
   00042    0.4304   -8030.5238  0.3058 
   00043    0.4364   -8058.2169  0.3042 
   00044    0.4148   -8030.0915  0.3036 
   00045    0.4284   -8061.7873  0.3033 
   00046    0.4308   -8097.5829  0.3051 
   00047    0.4324   -8114.2018  0.3089 
   00048    0.4468   -8122.8378  0.3070 
   00049    0.4244   -8101.8271  0.3117 
   00050    0.4212   -8127.9777  0.3114 
