cython_numpy_vec_run.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.352, Time: 0.107917 s
         1068873 function calls (1053401 primitive calls) in 0.869 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.096    0.096    0.113    0.113 cython_numpy_vec_run.py:128(main)
     7176    0.068    0.000    0.127    0.000 inspect.py:875(cleandoc)
      303    0.039    0.000    0.039    0.000 {built-in method marshal.loads}
      218    0.024    0.000    0.078    0.000 artist.py:1439(get_aliases)
       47    0.023    0.000    0.025    0.001 {built-in method _imp.create_dynamic}
      438    0.020    0.000    0.020    0.000 {built-in method builtins.dir}
     9617    0.020    0.000    0.020    0.000 {method 'search' of 're.Pattern' objects}
    92786    0.018    0.000    0.018    0.000 {method 'startswith' of 'str' objects}
166131/165022    0.017    0.000    0.017    0.000 {built-in method builtins.len}
1143/1046    0.016    0.000    0.400    0.000 {built-in method builtins.__build_class__}
      218    0.016    0.000    0.054    0.000 artist.py:1517(get_setters)
    86094    0.015    0.000    0.015    0.000 {method 'lstrip' of 'str' objects}
    69710    0.015    0.000    0.015    0.000 {built-in method builtins.getattr}
     4144    0.013    0.000    0.163    0.000 artist.py:1467(get_valid_values)
    61316    0.013    0.000    0.013    0.000 {built-in method builtins.min}
     1491    0.012    0.000    0.012    0.000 {built-in method posix.stat}
    66187    0.011    0.000    0.015    0.000 {built-in method builtins.isinstance}
15883/15876    0.009    0.000    0.011    0.000 {method 'join' of 'str' objects}
  497/236    0.009    0.000    0.023    0.000 _parser.py:512(_parse)
     6088    0.009    0.000    0.017    0.000 inspect.py:2712(__init__)
      303    0.009    0.000    0.009    0.000 {built-in method _io.open_code}
      136    0.008    0.000    0.040    0.000 _docstring.py:66(__call__)
     8813    0.007    0.000    0.007    0.000 {method 'split' of 'str' objects}
      303    0.007    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
      700    0.007    0.000    0.021    0.000 inspect.py:2366(_signature_from_function)
    35182    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
      303    0.007    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
     6672    0.006    0.000    0.053    0.000 __init__.py:280(_compile)
     7113    0.006    0.000    0.109    0.000 inspect.py:856(getdoc)
      928    0.006    0.000    0.008    0.000 inspect.py:2998(__init__)
       33    0.005    0.000    0.006    0.000 {built-in method _io.open}
     4144    0.005    0.000    0.012    0.000 artist.py:1555(aliased_name)
      114    0.005    0.000    0.202    0.002 artist.py:1598(pprint_setters)
15140/15106    0.005    0.000    0.009    0.000 {built-in method builtins.hasattr}
     7188    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
  845/714    0.005    0.000    0.031    0.000 inspect.py:2470(_signature_from_callable)
      620    0.005    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
 1069/210    0.005    0.000    0.011    0.000 _compiler.py:37(_compile)
       30    0.004    0.000    0.031    0.001 __init__.py:851(_rc_params_in_file)
3366/2931    0.004    0.000    0.010    0.000 {built-in method __new__ of type object at 0x55dfe7337660}
    47/37    0.004    0.000    0.014    0.000 {built-in method _imp.exec_dynamic}
     5563    0.004    0.000    0.046    0.000 __init__.py:174(search)
      799    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap>:304(acquire)
      204    0.004    0.000    0.004    0.000 numeric.py:1129(roll)
      103    0.003    0.000    0.306    0.003 artist.py:159(_update_set_signature_and_docstring)
     3262    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    30856    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
     6533    0.003    0.000    0.006    0.000 enum.py:726(__call__)
       56    0.003    0.000    0.007    0.000 {built-in method builtins.eval}
      435    0.003    0.000    0.006    0.000 enum.py:254(__set_name__)
    318/1    0.003    0.000    0.870    0.870 {built-in method builtins.exec}
      368    0.003    0.000    0.036    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    11364    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
      303    0.003    0.000    0.076    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     7661    0.003    0.000    0.004    0.000 _parser.py:168(__getitem__)
      756    0.003    0.000    0.005    0.000 functools.py:35(update_wrapper)
    10183    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
    374/4    0.002    0.000    0.757    0.189 <frozen importlib._bootstrap>:1349(_find_and_load)
     4311    0.002    0.000    0.003    0.000 {built-in method builtins.sorted}
       51    0.002    0.000    0.003    0.000 numeric.py:932(tensordot)
 1692/190    0.002    0.000    0.003    0.000 {built-in method _abc._abc_subclasscheck}
       39    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
      606    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
       38    0.002    0.000    0.005    0.000 __init__.py:355(namedtuple)
      335    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
 1266/411    0.002    0.000    0.003    0.000 _parser.py:178(getwidth)
      304    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     5930    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
      537    0.002    0.000    0.004    0.000 enum.py:390(__setitem__)
      799    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:124(setdefault)
     2679    0.002    0.000    0.003    0.000 cbook.py:405(_strip_comment)
     9366    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      799    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
       67    0.002    0.000    0.002    0.000 colors.py:1101(reversed)
     6530    0.002    0.000    0.002    0.000 enum.py:1129(__new__)
      799    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
    370/4    0.002    0.000    0.757    0.189 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     5745    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
     5185    0.002    0.000    0.003    0.000 _parser.py:261(get)
       41    0.002    0.000    0.958    0.023 __init__.py:1(<module>)
     6298    0.002    0.000    0.002    0.000 _parser.py:240(__next)
       78    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
