#=====================================================
# File created:        Thu-20-Feb-2025-at-01-06-23PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.290293
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2572.9113  0.2694 
   00001    0.6784   -3756.2052  0.2574 
   00002    0.6132   -4462.7446  0.2517 
   00003    0.5684   -5101.3245  0.2640 
   00004    0.5624   -5470.4511  0.2638 
   00005    0.5372   -5812.9800  0.2714 
   00006    0.5172   -6121.0321  0.2750 
   00007    0.5168   -6339.0973  0.2739 
   00008    0.4872   -6611.8976  0.2807 
   00009    0.4788   -6734.0973  0.2801 
   00010    0.4800   -6845.5942  0.2795 
   00011    0.4856   -6998.0291  0.2864 
   00012    0.4956   -7096.2418  0.2977 
   00013    0.4692   -7222.9995  0.2980 
   00014    0.4888   -7254.5896  0.3044 
   00015    0.4556   -7330.1092  0.3059 
   00016    0.4640   -7373.4632  0.3101 
   00017    0.4580   -7478.8735  0.3195 
   00018    0.4356   -7510.0791  0.3207 
   00019    0.4420   -7605.3221  0.3246 
   00020    0.4544   -7649.9448  0.3372 
   00021    0.4452   -7694.1712  0.3375 
   00022    0.4316   -7747.6052  0.3401 
   00023    0.4608   -7747.5909  0.3346 
   00024    0.4344   -7754.5406  0.3292 
   00025    0.4424   -7795.2086  0.3334 
   00026    0.4332   -7875.1086  0.3293 
   00027    0.4444   -7932.9535  0.3289 
   00028    0.4304   -7948.0956  0.3306 
   00029    0.4372   -8037.8522  0.3345 
   00030    0.4456   -7968.8035  0.3376 
   00031    0.4392   -7995.6785  0.3371 
   00032    0.4432   -7993.2295  0.3399 
   00033    0.4332   -8019.1536  0.3388 
   00034    0.4468   -8007.4247  0.3362 
   00035    0.4212   -8008.0023  0.3297 
   00036    0.4384   -7968.7320  0.3308 
   00037    0.4312   -7998.2646  0.3310 
   00038    0.4256   -8023.1719  0.3362 
   00039    0.4296   -8023.3799  0.3361 
   00040    0.4312   -7954.4085  0.3423 
   00041    0.4240   -8004.0319  0.3464 
   00042    0.4292   -8024.1149  0.3512 
   00043    0.4252   -8051.4682  0.3545 
   00044    0.4252   -8057.5138  0.3577 
   00045    0.4372   -8045.9751  0.3528 
   00046    0.4248   -8076.5713  0.3536 
   00047    0.4308   -8090.3402  0.3510 
   00048    0.4212   -8129.2454  0.3468 
   00049    0.4148   -8184.5489  0.3426 
   00050    0.4140   -8172.9821  0.3416 
