#=====================================================
# File created:        Sat-22-Feb-2025-at-11-50-41AM
# Size of lattice:     150x150
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.568380
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22501.0505  0.2525 
   00001    0.7120  -24190.3524  0.2536 
   00002    0.7026  -25797.0164  0.2535 
   00003    0.6925  -27252.6635  0.2535 
   00004    0.6851  -28490.6449  0.2530 
   00005    0.6694  -29624.0820  0.2547 
   00006    0.6572  -30863.2356  0.2553 
   00007    0.6576  -32047.4703  0.2568 
   00008    0.6493  -33094.8684  0.2577 
   00009    0.6461  -34169.9535  0.2559 
   00010    0.6333  -35089.9690  0.2558 
   00011    0.6304  -36088.4745  0.2550 
   00012    0.6273  -36933.5853  0.2555 
   00013    0.6195  -37745.5813  0.2551 
   00014    0.6154  -38512.7300  0.2541 
   00015    0.6089  -39237.5052  0.2532 
   00016    0.6048  -39967.9928  0.2531 
   00017    0.6003  -40677.9100  0.2555 
   00018    0.6002  -41317.1864  0.2562 
   00019    0.5908  -42002.7207  0.2560 
   00020    0.5834  -42648.9124  0.2569 
   00021    0.5851  -43307.1143  0.2564 
   00022    0.5755  -43876.6405  0.2563 
   00023    0.5794  -44425.9066  0.2562 
   00024    0.5699  -44980.8148  0.2556 
   00025    0.5728  -45561.6572  0.2555 
   00026    0.5679  -46062.1148  0.2555 
   00027    0.5631  -46504.1994  0.2557 
   00028    0.5597  -47007.6540  0.2572 
   00029    0.5546  -47437.0225  0.2585 
   00030    0.5506  -47919.7434  0.2596 
   00031    0.5472  -48397.4523  0.2608 
   00032    0.5504  -48856.5659  0.2613 
   00033    0.5495  -49311.2868  0.2632 
   00034    0.5433  -49714.6916  0.2630 
   00035    0.5413  -50106.3948  0.2627 
   00036    0.5413  -50495.4742  0.2632 
   00037    0.5328  -50834.4363  0.2644 
   00038    0.5304  -51188.9410  0.2644 
   00039    0.5282  -51618.9883  0.2645 
   00040    0.5272  -51976.9718  0.2645 
   00041    0.5216  -52315.3927  0.2645 
   00042    0.5276  -52628.5289  0.2655 
   00043    0.5214  -52964.7184  0.2658 
   00044    0.5201  -53287.3581  0.2666 
   00045    0.5201  -53613.0706  0.2671 
   00046    0.5188  -53921.8097  0.2662 
   00047    0.5219  -54220.6339  0.2666 
   00048    0.5176  -54546.4467  0.2674 
   00049    0.5100  -54884.3289  0.2675 
   00050    0.5108  -55090.8370  0.2672 
