#=====================================================
# File created:        Fri-21-Feb-2025-at-09-12-39PM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        41.271866
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2600.9929  0.2649 
   00001    0.7248   -2792.6306  0.2610 
   00002    0.6856   -2992.9692  0.2664 
   00003    0.6944   -3154.0509  0.2662 
   00004    0.6788   -3303.6575  0.2674 
   00005    0.6668   -3419.6283  0.2673 
   00006    0.6672   -3541.8191  0.2684 
   00007    0.6440   -3616.4883  0.2698 
   00008    0.6484   -3758.8462  0.2721 
   00009    0.6396   -3834.0966  0.2737 
   00010    0.6356   -3930.2231  0.2780 
   00011    0.6288   -4006.0944  0.2779 
   00012    0.6128   -4089.7558  0.2788 
   00013    0.6220   -4197.5486  0.2816 
   00014    0.6240   -4300.8225  0.2807 
   00015    0.6108   -4391.0514  0.2806 
   00016    0.6084   -4473.8804  0.2812 
   00017    0.5980   -4572.8727  0.2805 
   00018    0.6152   -4655.9786  0.2846 
   00019    0.5780   -4753.5934  0.2805 
   00020    0.5676   -4825.7686  0.2786 
   00021    0.5704   -4887.2452  0.2784 
   00022    0.5648   -4937.1044  0.2748 
   00023    0.5828   -4987.0970  0.2755 
   00024    0.5740   -5064.4510  0.2740 
   00025    0.5500   -5114.0082  0.2765 
   00026    0.5724   -5181.2987  0.2757 
   00027    0.5460   -5265.7662  0.2761 
   00028    0.5512   -5296.5629  0.2737 
   00029    0.5408   -5336.3108  0.2747 
   00030    0.5404   -5356.2337  0.2785 
   00031    0.5568   -5432.1331  0.2833 
   00032    0.5568   -5485.5409  0.2837 
   00033    0.5520   -5549.2678  0.2863 
   00034    0.5440   -5591.0878  0.2874 
   00035    0.5436   -5623.6690  0.2860 
   00036    0.5404   -5673.0182  0.2892 
   00037    0.5376   -5734.9761  0.2903 
   00038    0.5300   -5774.5846  0.2932 
   00039    0.5412   -5853.7399  0.2927 
   00040    0.5316   -5911.5287  0.2943 
   00041    0.5268   -5926.2649  0.2950 
   00042    0.5264   -5934.4096  0.2954 
   00043    0.5308   -5974.4197  0.2969 
   00044    0.5140   -6019.2830  0.2962 
   00045    0.5236   -6049.1871  0.2992 
   00046    0.5076   -6078.2527  0.3010 
   00047    0.5320   -6095.9817  0.3009 
   00048    0.5124   -6119.7033  0.3006 
   00049    0.5028   -6156.9960  0.3005 
   00050    0.5236   -6179.6571  0.2980 
   00051    0.5068   -6194.9964  0.2943 
   00052    0.4824   -6225.3229  0.2960 
   00053    0.4920   -6231.0757  0.2948 
   00054    0.5020   -6261.1923  0.2920 
   00055    0.5048   -6278.5213  0.2898 
   00056    0.4876   -6302.4014  0.2902 
   00057    0.4924   -6317.1155  0.2874 
   00058    0.4976   -6310.4795  0.2855 
   00059    0.5036   -6338.2384  0.2889 
   00060    0.4912   -6384.1220  0.2915 
   00061    0.5072   -6392.4806  0.2932 
   00062    0.4828   -6405.1214  0.2925 
   00063    0.4868   -6435.7602  0.2934 
   00064    0.4756   -6457.2959  0.2925 
   00065    0.5156   -6470.6703  0.2910 
   00066    0.4912   -6486.4272  0.2938 
   00067    0.4924   -6502.2234  0.2936 
   00068    0.5052   -6540.3857  0.2958 
   00069    0.4928   -6570.9956  0.2940 
   00070    0.5112   -6577.4544  0.2981 
   00071    0.4940   -6580.3454  0.3007 
   00072    0.4836   -6601.8725  0.3033 
   00073    0.4832   -6607.5934  0.3031 
   00074    0.4836   -6636.0803  0.3032 
   00075    0.4844   -6670.4956  0.3015 
   00076    0.4668   -6691.5684  0.3040 
   00077    0.4860   -6706.2199  0.3046 
   00078    0.4668   -6738.8031  0.3043 
   00079    0.4824   -6775.2076  0.3026 
   00080    0.4620   -6793.1214  0.3053 
   00081    0.4824   -6791.1954  0.3058 
   00082    0.4796   -6832.7041  0.3036 
   00083    0.4800   -6864.1576  0.3045 
   00084    0.4728   -6904.8698  0.3067 
   00085    0.4840   -6910.7291  0.3078 
   00086    0.4708   -6930.8315  0.3073 
   00087    0.4708   -6949.2832  0.3047 
   00088    0.4784   -6942.9097  0.3058 
   00089    0.4672   -6925.7786  0.3047 
   00090    0.4896   -6960.3877  0.3041 
   00091    0.4724   -6959.9522  0.3050 
   00092    0.4480   -6962.0066  0.3043 
   00093    0.4852   -6988.9972  0.3051 
   00094    0.4908   -7004.6450  0.3026 
   00095    0.4660   -7009.8359  0.3019 
   00096    0.4604   -7036.1359  0.3045 
   00097    0.4700   -7037.0925  0.3046 
   00098    0.4736   -7060.0757  0.3063 
   00099    0.4572   -7100.8484  0.3071 
   00100    0.4396   -7083.7933  0.3099 
   00101    0.4604   -7104.2557  0.3094 
   00102    0.4812   -7088.2530  0.3102 
   00103    0.4712   -7100.7161  0.3126 
   00104    0.4532   -7112.2112  0.3159 
   00105    0.4636   -7114.6047  0.3172 
   00106    0.4464   -7129.3356  0.3191 
   00107    0.4660   -7160.2645  0.3236 
   00108    0.4556   -7171.9692  0.3249 
   00109    0.4548   -7171.3736  0.3238 
   00110    0.4524   -7169.8375  0.3276 
   00111    0.4664   -7184.7978  0.3255 
   00112    0.4720   -7219.1406  0.3228 
   00113    0.4632   -7224.5491  0.3234 
   00114    0.4676   -7234.9185  0.3241 
   00115    0.4648   -7251.9831  0.3207 
   00116    0.4688   -7236.7942  0.3209 
   00117    0.4676   -7236.6622  0.3226 
   00118    0.4460   -7243.4338  0.3232 
   00119    0.4544   -7266.5742  0.3272 
   00120    0.4688   -7269.2067  0.3255 
   00121    0.4700   -7289.6260  0.3277 
   00122    0.4448   -7283.4492  0.3270 
   00123    0.4572   -7299.5462  0.3290 
   00124    0.4496   -7300.6102  0.3266 
   00125    0.4588   -7327.2182  0.3250 
   00126    0.4628   -7320.5462  0.3258 
   00127    0.4604   -7326.3989  0.3266 
   00128    0.4604   -7349.8625  0.3293 
   00129    0.4532   -7354.7283  0.3294 
   00130    0.4616   -7371.3050  0.3298 
   00131    0.4424   -7371.0103  0.3296 
   00132    0.4644   -7371.1787  0.3300 
   00133    0.4648   -7381.7382  0.3296 
   00134    0.4436   -7375.7655  0.3290 
   00135    0.4536   -7378.9026  0.3266 
   00136    0.4448   -7387.9942  0.3275 
   00137    0.4564   -7395.0222  0.3269 
   00138    0.4404   -7414.5405  0.3242 
   00139    0.4552   -7424.5011  0.3216 
   00140    0.4580   -7455.7729  0.3206 
   00141    0.4572   -7462.8150  0.3178 
   00142    0.4568   -7467.6265  0.3201 
   00143    0.4628   -7466.4554  0.3189 
   00144    0.4572   -7455.2692  0.3178 
   00145    0.4428   -7457.0213  0.3197 
   00146    0.4612   -7473.3361  0.3178 
   00147    0.4392   -7456.9265  0.3172 
   00148    0.4620   -7476.5655  0.3208 
   00149    0.4468   -7487.0595  0.3194 
   00150    0.4476   -7490.1710  0.3203 
   00151    0.4516   -7507.1858  0.3208 
   00152    0.4432   -7521.5254  0.3212 
   00153    0.4644   -7544.9956  0.3229 
