#=====================================================
# File created:        Fri-21-Feb-2025-at-08-46-00PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.658332
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2499.3209  0.2675 
   00001    0.7016   -3232.9490  0.2784 
   00002    0.6608   -3771.8989  0.2826 
   00003    0.6432   -4158.9211  0.2855 
   00004    0.6056   -4475.9791  0.2809 
   00005    0.5936   -4777.4297  0.2900 
   00006    0.5740   -5033.4507  0.2880 
   00007    0.5592   -5251.8141  0.2893 
   00008    0.5404   -5508.3282  0.2882 
   00009    0.5444   -5660.3197  0.2889 
   00010    0.5372   -5849.7396  0.2967 
   00011    0.5316   -5988.8398  0.3090 
   00012    0.5136   -6117.6961  0.3168 
   00013    0.5304   -6229.2705  0.3200 
   00014    0.5172   -6359.1159  0.3222 
   00015    0.5000   -6507.1351  0.3260 
   00016    0.4916   -6588.3722  0.3198 
   00017    0.5176   -6674.0814  0.3246 
   00018    0.4944   -6758.8138  0.3278 
   00019    0.4756   -6821.3951  0.3229 
   00020    0.4856   -6856.8923  0.3261 
   00021    0.4788   -6917.5509  0.3305 
   00022    0.4860   -6993.2714  0.3309 
   00023    0.4692   -7009.4844  0.3284 
   00024    0.4736   -7062.0580  0.3333 
   00025    0.4744   -7109.7002  0.3358 
   00026    0.4740   -7118.2332  0.3412 
   00027    0.4456   -7202.9860  0.3414 
   00028    0.4844   -7260.3737  0.3462 
   00029    0.4424   -7287.3912  0.3509 
   00030    0.4572   -7320.8852  0.3461 
   00031    0.4684   -7369.4214  0.3447 
   00032    0.4512   -7419.4640  0.3440 
   00033    0.4612   -7454.0452  0.3411 
   00034    0.4556   -7459.3060  0.3387 
   00035    0.4436   -7487.5397  0.3432 
   00036    0.4612   -7534.9978  0.3425 
   00037    0.4636   -7539.2438  0.3476 
   00038    0.4508   -7569.6440  0.3471 
   00039    0.4476   -7578.3794  0.3491 
   00040    0.4516   -7624.4454  0.3531 
   00041    0.4496   -7648.8255  0.3559 
   00042    0.4388   -7612.3745  0.3522 
   00043    0.4376   -7609.9134  0.3531 
   00044    0.4416   -7629.3560  0.3509 
   00045    0.4536   -7641.7060  0.3532 
   00046    0.4452   -7620.9586  0.3515 
   00047    0.4564   -7624.8468  0.3526 
   00048    0.4480   -7674.6302  0.3530 
   00049    0.4432   -7663.5560  0.3525 
   00050    0.4364   -7704.1067  0.3515 
