         1104067 function calls (1088590 primitive calls) in 1.561 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    30000    0.241    0.000    0.241    0.000 mpi4py_original.py:142(one_energy)
        1    0.144    0.144    0.455    0.455 mpi4py_original.py:285(main)
      304    0.120    0.000    0.120    0.000 {built-in method _io.open_code}
      800    0.091    0.000    0.093    0.000 <frozen importlib._bootstrap>:124(setdefault)
     7176    0.077    0.000    0.144    0.000 inspect.py:875(cleandoc)
      304    0.049    0.000    0.049    0.000 {built-in method marshal.loads}
       50    0.044    0.001    0.311    0.006 mpi4py_original.py:222(MC_step)
    47/37    0.038    0.001    0.049    0.001 {built-in method _imp.exec_dynamic}
1144/1047    0.029    0.000    0.465    0.000 {built-in method builtins.__build_class__}
      218    0.027    0.000    0.088    0.000 artist.py:1439(get_aliases)
       47    0.023    0.000    0.026    0.001 {built-in method _imp.create_dynamic}
      438    0.023    0.000    0.023    0.000 {built-in method builtins.dir}
     9696    0.023    0.000    0.023    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
     9617    0.022    0.000    0.022    0.000 {method 'search' of 're.Pattern' objects}
    92791    0.021    0.000    0.021    0.000 {method 'startswith' of 'str' objects}
165985/164876    0.020    0.000    0.020    0.000 {built-in method builtins.len}
      218    0.018    0.000    0.060    0.000 artist.py:1517(get_setters)
    86094    0.017    0.000    0.017    0.000 {method 'lstrip' of 'str' objects}
    69665    0.017    0.000    0.017    0.000 {built-in method builtins.getattr}
    61316    0.015    0.000    0.015    0.000 {built-in method builtins.min}
     4144    0.015    0.000    0.185    0.000 artist.py:1467(get_valid_values)
     1503    0.014    0.000    0.014    0.000 {built-in method posix.stat}
    66147    0.013    0.000    0.017    0.000 {built-in method builtins.isinstance}
      136    0.011    0.000    0.046    0.000 _docstring.py:66(__call__)
  497/236    0.010    0.000    0.026    0.000 _parser.py:512(_parse)
     6088    0.010    0.000    0.019    0.000 inspect.py:2712(__init__)
15912/15905    0.010    0.000    0.012    0.000 {method 'join' of 'str' objects}
     8813    0.008    0.000    0.008    0.000 {method 'split' of 'str' objects}
      304    0.008    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      700    0.008    0.000    0.024    0.000 inspect.py:2366(_signature_from_function)
      304    0.007    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
     6672    0.007    0.000    0.059    0.000 __init__.py:280(_compile)
     7113    0.007    0.000    0.124    0.000 inspect.py:856(getdoc)
    35185    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
     4144    0.006    0.000    0.013    0.000 artist.py:1555(aliased_name)
      928    0.006    0.000    0.009    0.000 inspect.py:2998(__init__)
      114    0.006    0.000    0.229    0.002 artist.py:1598(pprint_setters)
15093/15059    0.006    0.000    0.010    0.000 {built-in method builtins.hasattr}
      625    0.006    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     7188    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
  845/714    0.005    0.000    0.035    0.000 inspect.py:2470(_signature_from_callable)
 1069/210    0.005    0.000    0.012    0.000 _compiler.py:37(_compile)
       30    0.005    0.000    0.035    0.001 __init__.py:851(_rc_params_in_file)
3367/2932    0.004    0.000    0.011    0.000 {built-in method __new__ of type object at 0x563197fa6660}
     5563    0.004    0.000    0.052    0.000 __init__.py:174(search)
       56    0.004    0.000    0.009    0.000 {built-in method builtins.eval}
      800    0.004    0.000    0.101    0.000 <frozen importlib._bootstrap>:304(acquire)
    30856    0.004    0.000    0.004    0.000 {built-in method builtins.callable}
      103    0.004    0.000    0.346    0.003 artist.py:159(_update_set_signature_and_docstring)
     3289    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     6533    0.004    0.000    0.007    0.000 enum.py:726(__call__)
      435    0.004    0.000    0.007    0.000 enum.py:254(__set_name__)
    319/1    0.004    0.000    1.562    1.562 {built-in method builtins.exec}
      369    0.003    0.000    0.041    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    11265    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
       40    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
     7661    0.003    0.000    0.004    0.000 _parser.py:168(__getitem__)
      304    0.003    0.000    0.200    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
      756    0.003    0.000    0.006    0.000 functools.py:35(update_wrapper)
    10185    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
    375/5    0.003    0.000    1.107    0.221 <frozen importlib._bootstrap>:1349(_find_and_load)
     4311    0.003    0.000    0.003    0.000 {built-in method builtins.sorted}
      608    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
 1692/190    0.002    0.000    0.003    0.000 {built-in method _abc._abc_subclasscheck}
       38    0.002    0.000    0.006    0.000 __init__.py:355(namedtuple)
 1266/411    0.002    0.000    0.003    0.000 _parser.py:178(getwidth)
      336    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
       67    0.002    0.000    0.002    0.000 colors.py:1101(reversed)
      537    0.002    0.000    0.005    0.000 enum.py:390(__setitem__)
     2679    0.002    0.000    0.004    0.000 cbook.py:405(_strip_comment)
      800    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
     5930    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     6530    0.002    0.000    0.002    0.000 enum.py:1129(__new__)
     9422    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      800    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       42    0.002    0.000    1.620    0.039 __init__.py:1(<module>)
     5746    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
     5185    0.002    0.000    0.003    0.000 _parser.py:261(get)
    371/5    0.002    0.000    1.107    0.221 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       32    0.002    0.000    0.002    0.000 {built-in method _io.open}
      147    0.002    0.000    0.003    0.000 _compiler.py:243(_optimize_charset)
     6298    0.002    0.000    0.002    0.000 _parser.py:240(__next)
       24    0.002    0.000    0.003    0.000 util.py:208(_collapse_string_to_ranges)
       78    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
     6502    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
      356    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     5486    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
 1692/190    0.001    0.000    0.004    0.000 <frozen abc>:121(__subclasscheck__)
        3    0.001    0.000    0.046    0.015 core.py:1(<module>)
    356/6    0.001    0.000    1.106    0.184 <frozen importlib._bootstrap>:911(_load_unlocked)
      788    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:645(parent)
  438/210    0.001    0.000    0.027    0.000 _parser.py:452(_parse_sub)
     1462    0.001    0.000    0.003    0.000 typing.py:1188(__setattr__)
     6284    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
      469    0.001    0.000    0.004    0.000 typing.py:175(_type_check)
     3026    0.001    0.000    0.002    0.000 inspect.py:3045(<genexpr>)
      420    0.001    0.000    0.003    0.000 enum.py:1562(__and__)
      702    0.001    0.000    0.002    0.000 inspect.py:175(get_annotations)
         1104061 function calls (1088584 primitive calls) in 1.561 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    30000    0.274    0.000    0.274    0.000 mpi4py_original.py:142(one_energy)
        1    0.104    0.104    0.455    0.455 mpi4py_original.py:285(main)
      304    0.104    0.000    0.104    0.000 {built-in method marshal.loads}
       47    0.103    0.002    0.116    0.002 {built-in method _imp.create_dynamic}
    47/37    0.081    0.002    0.093    0.003 {built-in method _imp.exec_dynamic}
     7176    0.079    0.000    0.146    0.000 inspect.py:875(cleandoc)
       50    0.048    0.001    0.350    0.007 mpi4py_original.py:222(MC_step)
     1503    0.029    0.000    0.029    0.000 {built-in method posix.stat}
      218    0.028    0.000    0.089    0.000 artist.py:1439(get_aliases)
     9690    0.025    0.000    0.025    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
      438    0.023    0.000    0.023    0.000 {built-in method builtins.dir}
     9617    0.022    0.000    0.022    0.000 {method 'search' of 're.Pattern' objects}
    92791    0.021    0.000    0.021    0.000 {method 'startswith' of 'str' objects}
165985/164876    0.020    0.000    0.020    0.000 {built-in method builtins.len}
1144/1047    0.018    0.000    0.456    0.000 {built-in method builtins.__build_class__}
      218    0.018    0.000    0.060    0.000 artist.py:1517(get_setters)
      304    0.017    0.000    0.017    0.000 {method 'read' of '_io.BufferedReader' objects}
    86094    0.017    0.000    0.017    0.000 {method 'lstrip' of 'str' objects}
    69665    0.016    0.000    0.017    0.000 {built-in method builtins.getattr}
      136    0.016    0.000    0.052    0.000 _docstring.py:66(__call__)
    61316    0.015    0.000    0.015    0.000 {built-in method builtins.min}
     4144    0.015    0.000    0.186    0.000 artist.py:1467(get_valid_values)
    66147    0.013    0.000    0.017    0.000 {built-in method builtins.isinstance}
  497/236    0.010    0.000    0.026    0.000 _parser.py:512(_parse)
15912/15905    0.010    0.000    0.012    0.000 {method 'join' of 'str' objects}
     6088    0.010    0.000    0.019    0.000 inspect.py:2712(__init__)
      304    0.010    0.000    0.010    0.000 {built-in method _io.open_code}
      304    0.008    0.000    0.112    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
     8813    0.008    0.000    0.008    0.000 {method 'split' of 'str' objects}
      700    0.008    0.000    0.024    0.000 inspect.py:2366(_signature_from_function)
     6672    0.007    0.000    0.060    0.000 __init__.py:280(_compile)
    35185    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
     7113    0.007    0.000    0.125    0.000 inspect.py:856(getdoc)
      928    0.006    0.000    0.009    0.000 inspect.py:2998(__init__)
     4144    0.006    0.000    0.013    0.000 artist.py:1555(aliased_name)
      114    0.006    0.000    0.230    0.002 artist.py:1598(pprint_setters)
15093/15059    0.006    0.000    0.010    0.000 {built-in method builtins.hasattr}
     7188    0.006    0.000    0.006    0.000 {method 'expandtabs' of 'str' objects}
