#=====================================================
# File created:        Tue-18-Feb-2025-at-10-42-38AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        65.008821
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2484.6533  0.2555 
   00001    0.6680   -3738.1540  0.2527 
   00002    0.6244   -4573.7758  0.2678 
   00003    0.5736   -5031.2969  0.2559 
   00004    0.5568   -5449.4160  0.2560 
   00005    0.5404   -5788.6948  0.2613 
   00006    0.5240   -6069.9568  0.2707 
   00007    0.5064   -6302.5971  0.2724 
   00008    0.5072   -6560.8210  0.2759 
   00009    0.4892   -6747.4534  0.2762 
   00010    0.4872   -6899.4174  0.2784 
   00011    0.4704   -7021.9737  0.2731 
   00012    0.4512   -7147.8661  0.2674 
   00013    0.4700   -7243.2055  0.2683 
   00014    0.4540   -7346.8081  0.2756 
   00015    0.4536   -7359.4512  0.2771 
   00016    0.4548   -7437.3249  0.2784 
   00017    0.4504   -7523.6944  0.2745 
   00018    0.4524   -7556.0874  0.2741 
   00019    0.4524   -7565.8706  0.2714 
   00020    0.4480   -7577.4432  0.2773 
   00021    0.4480   -7679.7930  0.2770 
   00022    0.4548   -7700.7259  0.2815 
   00023    0.4412   -7727.2226  0.2810 
   00024    0.4284   -7796.6071  0.2847 
   00025    0.4356   -7844.9089  0.2894 
   00026    0.4480   -7826.8415  0.2938 
   00027    0.4548   -7866.6213  0.2870 
   00028    0.4448   -7908.0416  0.2880 
   00029    0.4268   -7945.3795  0.2912 
   00030    0.4184   -8005.9270  0.2959 
   00031    0.4216   -8038.3855  0.2992 
   00032    0.4264   -7974.4157  0.3042 
   00033    0.4268   -7975.7870  0.3011 
   00034    0.4268   -7997.7833  0.3008 
   00035    0.4328   -7978.9745  0.2993 
   00036    0.4260   -7960.1729  0.3022 
   00037    0.4276   -7980.6900  0.3040 
   00038    0.4088   -8022.3207  0.3075 
   00039    0.4120   -8038.1614  0.3018 
   00040    0.4144   -8060.3364  0.2985 
   00041    0.4424   -8041.3333  0.3043 
   00042    0.4332   -8081.5881  0.3101 
   00043    0.4344   -8056.5921  0.3098 
   00044    0.4268   -8079.4347  0.3080 
   00045    0.4264   -8132.4515  0.3061 
   00046    0.4144   -8117.0465  0.3076 
   00047    0.3940   -8141.3616  0.3130 
   00048    0.4272   -8088.9202  0.3071 
   00049    0.4152   -8088.1249  0.3102 
   00050    0.4340   -8112.6014  0.3072 
   00051    0.4368   -8131.9876  0.3063 
   00052    0.4224   -8099.0257  0.3104 
   00053    0.4440   -8049.0560  0.3145 
   00054    0.4312   -8115.0982  0.3131 
   00055    0.4320   -8172.6172  0.3055 
   00056    0.4388   -8163.0581  0.3047 
   00057    0.4332   -8175.5378  0.2997 
   00058    0.4084   -8216.4349  0.3017 
   00059    0.4148   -8210.9952  0.3010 
   00060    0.4272   -8209.8167  0.2954 
   00061    0.4116   -8239.8745  0.3000 
   00062    0.4184   -8236.6270  0.3051 
   00063    0.4268   -8292.8870  0.3045 
   00064    0.4168   -8295.3772  0.3024 
   00065    0.4040   -8274.2901  0.3033 
   00066    0.4288   -8309.2497  0.3049 
   00067    0.4316   -8281.0507  0.3020 
   00068    0.4128   -8255.8500  0.3037 
   00069    0.4196   -8256.5632  0.2955 
   00070    0.4264   -8267.4420  0.2991 
   00071    0.4320   -8274.2976  0.3008 
   00072    0.4168   -8280.7830  0.2996 
   00073    0.4120   -8234.3910  0.2983 
   00074    0.4152   -8274.7891  0.3045 
   00075    0.4196   -8295.8126  0.3042 
   00076    0.4136   -8288.0720  0.2923 
   00077    0.4224   -8301.7692  0.2899 
   00078    0.4132   -8269.0087  0.2937 
   00079    0.4088   -8246.0925  0.2942 
   00080    0.4388   -8295.4009  0.2968 
   00081    0.4076   -8272.1089  0.2994 
   00082    0.4224   -8287.1081  0.2946 
   00083    0.4112   -8281.7421  0.2897 
   00084    0.4224   -8295.5705  0.2910 
   00085    0.4212   -8294.6033  0.2941 
   00086    0.4116   -8283.3490  0.2965 
   00087    0.4092   -8283.7919  0.2932 
   00088    0.4112   -8294.0771  0.2939 
   00089    0.4152   -8297.5149  0.2924 
   00090    0.4180   -8335.5774  0.2943 
   00091    0.4244   -8313.5613  0.2881 
   00092    0.4200   -8341.1870  0.2864 
   00093    0.4156   -8354.3915  0.2916 
   00094    0.4284   -8392.7538  0.2993 
   00095    0.4136   -8338.8209  0.3002 
   00096    0.4008   -8338.5768  0.2975 
   00097    0.4124   -8355.0270  0.2958 
   00098    0.4064   -8346.7588  0.2940 
   00099    0.4168   -8312.5023  0.2984 
   00100    0.4316   -8292.5165  0.2911 
   00101    0.4276   -8317.2843  0.2904 
   00102    0.4196   -8321.9694  0.2812 
   00103    0.4232   -8341.5452  0.2836 
   00104    0.4076   -8319.0364  0.2789 
   00105    0.4124   -8272.3171  0.2770 
   00106    0.4236   -8288.7500  0.2752 
   00107    0.4248   -8284.6092  0.2736 
