#=====================================================
# File created:        Tue-18-Feb-2025-at-11-00-04AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        43.068841
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2330.3631  0.2599 
   00001    0.7064   -3681.2324  0.2684 
   00002    0.6172   -4376.7157  0.2775 
   00003    0.5820   -4970.0865  0.2792 
   00004    0.5620   -5378.4099  0.2810 
   00005    0.5424   -5699.3225  0.2894 
   00006    0.5204   -5964.7175  0.2919 
   00007    0.5124   -6156.4794  0.2890 
   00008    0.4956   -6367.7015  0.2867 
   00009    0.5032   -6537.0252  0.2859 
   00010    0.4900   -6709.8512  0.2956 
   00011    0.4904   -6878.6134  0.2936 
   00012    0.4776   -6985.8270  0.2946 
   00013    0.4760   -7049.7272  0.3038 
   00014    0.4724   -7162.8198  0.3010 
   00015    0.4724   -7277.6261  0.3053 
   00016    0.4512   -7370.7561  0.3052 
   00017    0.4600   -7431.9788  0.3082 
   00018    0.4464   -7521.0787  0.3140 
   00019    0.4528   -7521.5904  0.3093 
   00020    0.4560   -7604.3802  0.3213 
   00021    0.4420   -7700.4429  0.3137 
   00022    0.4320   -7757.0773  0.3112 
   00023    0.4268   -7801.6214  0.3085 
   00024    0.4428   -7773.2679  0.3118 
   00025    0.4464   -7799.1533  0.3148 
   00026    0.4300   -7842.2111  0.3170 
   00027    0.4384   -7905.8219  0.3176 
   00028    0.4264   -7925.9471  0.3082 
   00029    0.4300   -7952.7130  0.3083 
   00030    0.4344   -7983.6696  0.3080 
   00031    0.4356   -7986.4376  0.3122 
   00032    0.4212   -7978.6037  0.3173 
   00033    0.4340   -8017.0264  0.3161 
   00034    0.4140   -8036.1426  0.3118 
   00035    0.4340   -8047.1803  0.3216 
   00036    0.4228   -8050.5993  0.3190 
   00037    0.4336   -8038.0120  0.3196 
   00038    0.4264   -8002.7150  0.3145 
   00039    0.4336   -8009.1956  0.3068 
   00040    0.4204   -8006.1432  0.3073 
   00041    0.4228   -8012.3037  0.3079 
   00042    0.4132   -8010.7827  0.3141 
   00043    0.4352   -8033.7295  0.3084 
   00044    0.4300   -8032.6899  0.3034 
   00045    0.4300   -8051.9486  0.3059 
   00046    0.4460   -8055.8444  0.3105 
   00047    0.4180   -8093.3188  0.3038 
   00048    0.4216   -8081.7354  0.3049 
   00049    0.4236   -8115.5885  0.3036 
   00050    0.4448   -8148.3219  0.3079 
   00051    0.4100   -8191.0799  0.3051 
   00052    0.4260   -8162.2858  0.3014 
   00053    0.3964   -8207.1962  0.3071 
   00054    0.4216   -8154.6937  0.3060 
   00055    0.4216   -8181.7552  0.3070 
   00056    0.4280   -8203.9258  0.3053 
   00057    0.4184   -8187.5767  0.3043 
   00058    0.4152   -8165.4777  0.3065 
   00059    0.4164   -8125.7767  0.3150 
   00060    0.4184   -8167.5399  0.3135 
   00061    0.4184   -8195.8771  0.3120 
   00062    0.4144   -8203.2529  0.3160 
   00063    0.4296   -8193.1730  0.3175 
   00064    0.4328   -8198.7519  0.3213 
   00065    0.4120   -8265.6348  0.3223 
   00066    0.4216   -8228.8463  0.3265 
   00067    0.4272   -8241.7167  0.3240 
   00068    0.4212   -8251.1371  0.3191 
   00069    0.4296   -8259.4813  0.3185 
   00070    0.4252   -8314.8970  0.3157 
   00071    0.4064   -8296.5679  0.3117 
   00072    0.4284   -8282.5837  0.3115 
   00073    0.4144   -8318.1029  0.3125 
   00074    0.4252   -8283.6046  0.3168 
   00075    0.4264   -8267.5600  0.3242 
   00076    0.4156   -8247.8710  0.3249 
   00077    0.4252   -8249.9932  0.3261 
   00078    0.4192   -8249.4124  0.3150 
   00079    0.4232   -8231.3187  0.3166 
   00080    0.4216   -8248.7984  0.3208 
   00081    0.4412   -8249.1724  0.3225 
   00082    0.4144   -8299.7269  0.3202 
   00083    0.4312   -8227.2339  0.3154 
   00084    0.4236   -8289.4611  0.3201 
   00085    0.4060   -8281.6463  0.3219 
   00086    0.4256   -8290.0470  0.3244 
   00087    0.4268   -8276.8076  0.3299 
   00088    0.4124   -8296.4369  0.3333 
   00089    0.4188   -8282.2308  0.3345 
   00090    0.4392   -8309.3823  0.3357 
   00091    0.4084   -8320.4211  0.3381 
   00092    0.4276   -8253.0821  0.3323 
   00093    0.3952   -8267.3793  0.3400 
   00094    0.4260   -8371.3170  0.3363 
   00095    0.4204   -8368.7885  0.3395 
   00096    0.4172   -8337.9320  0.3444 
   00097    0.4336   -8267.7166  0.3405 
   00098    0.4172   -8264.5289  0.3402 
   00099    0.4084   -8217.7810  0.3437 
   00100    0.4284   -8239.3851  0.3385 
   00101    0.4172   -8264.6494  0.3342 
   00102    0.4340   -8300.1469  0.3393 
   00103    0.4196   -8339.1901  0.3403 
   00104    0.4336   -8363.4315  0.3466 
   00105    0.3992   -8305.3565  0.3575 
   00106    0.4184   -8255.3949  0.3575 
   00107    0.4112   -8291.5374  0.3546 
   00108    0.4288   -8300.7115  0.3576 
   00109    0.4152   -8287.4967  0.3579 
   00110    0.4008   -8355.5569  0.3585 
   00111    0.4244   -8360.4321  0.3522 
   00112    0.4272   -8308.8150  0.3552 
   00113    0.4096   -8314.9184  0.3563 
   00114    0.4048   -8316.1491  0.3552 
   00115    0.4100   -8352.3008  0.3638 
   00116    0.4076   -8336.3353  0.3773 
