numpy_vec_get_order_all_energy.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.273, Time: 2.359681 s
         1319004 function calls (1303532 primitive calls) in 3.263 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   250000    1.917    0.000    1.917    0.000 numpy_vec_get_order_all_energy.py:139(one_energy)
       50    0.389    0.008    2.318    0.046 numpy_vec_get_order_all_energy.py:245(MC_step)
     7176    0.079    0.000    0.147    0.000 inspect.py:875(cleandoc)
      303    0.051    0.000    0.051    0.000 {built-in method marshal.loads}
      218    0.028    0.000    0.091    0.000 artist.py:1439(get_aliases)
      438    0.024    0.000    0.024    0.000 {built-in method builtins.dir}
       46    0.023    0.001    0.026    0.001 {built-in method _imp.create_dynamic}
     9617    0.023    0.000    0.023    0.000 {method 'search' of 're.Pattern' objects}
    92785    0.021    0.000    0.021    0.000 {method 'startswith' of 'str' objects}
166128/165019    0.020    0.000    0.020    0.000 {built-in method builtins.len}
1143/1046    0.020    0.000    0.470    0.000 {built-in method builtins.__build_class__}
      218    0.018    0.000    0.061    0.000 artist.py:1517(get_setters)
    69703    0.018    0.000    0.018    0.000 {built-in method builtins.getattr}
    86094    0.017    0.000    0.017    0.000 {method 'lstrip' of 'str' objects}
       51    0.017    0.000    0.025    0.000 numpy_vec_get_order_all_energy.py:173(all_energy)
      136    0.017    0.000    0.054    0.000 _docstring.py:66(__call__)
     4144    0.016    0.000    0.190    0.000 artist.py:1467(get_valid_values)
    61316    0.015    0.000    0.015    0.000 {built-in method builtins.min}
     1489    0.015    0.000    0.015    0.000 {built-in method posix.stat}
    66186    0.013    0.000    0.018    0.000 {built-in method builtins.isinstance}
      303    0.011    0.000    0.011    0.000 {built-in method _io.open_code}
15882/15875    0.011    0.000    0.013    0.000 {method 'join' of 'str' objects}
  497/236    0.011    0.000    0.026    0.000 _parser.py:512(_parse)
     6088    0.010    0.000    0.019    0.000 inspect.py:2712(__init__)
       33    0.009    0.000    0.009    0.000 {built-in method _io.open}
      303    0.009    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      700    0.008    0.000    0.025    0.000 inspect.py:2366(_signature_from_function)
     8813    0.008    0.000    0.008    0.000 {method 'split' of 'str' objects}
      303    0.008    0.000    0.008    0.000 {method 'read' of '_io.BufferedReader' objects}
       51    0.008    0.000    0.018    0.000 numpy_vec_get_order_all_energy.py:207(get_order)
     6672    0.008    0.000    0.062    0.000 __init__.py:280(_compile)
    35180    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
     7113    0.007    0.000    0.126    0.000 inspect.py:856(getdoc)
      928    0.007    0.000    0.009    0.000 inspect.py:2998(__init__)
15138/15104    0.007    0.000    0.011    0.000 {built-in method builtins.hasattr}
      114    0.006    0.000    0.235    0.002 artist.py:1598(pprint_setters)
     4144    0.006    0.000    0.013    0.000 artist.py:1555(aliased_name)
  845/714    0.006    0.000    0.036    0.000 inspect.py:2470(_signature_from_callable)
     7188    0.006    0.000    0.006    0.000 {method 'expandtabs' of 'str' objects}
      619    0.006    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
       50    0.006    0.000    0.006    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
 1069/210    0.005    0.000    0.013    0.000 _compiler.py:37(_compile)
      204    0.005    0.000    0.006    0.000 numeric.py:1129(roll)
       30    0.005    0.000    0.037    0.001 __init__.py:851(_rc_params_in_file)
3365/2930    0.005    0.000    0.012    0.000 {built-in method __new__ of type object at 0x55a07c18c660}
    46/36    0.004    0.000    0.014    0.000 {built-in method _imp.exec_dynamic}
     5563    0.004    0.000    0.054    0.000 __init__.py:174(search)
      798    0.004    0.000    0.013    0.000 <frozen importlib._bootstrap>:304(acquire)
