#=====================================================
# File created:        Tue-18-Feb-2025-at-06-26-07PM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        1.630842
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2507.3310  0.2695 
   00001    0.6852   -3696.1907  0.2861 
   00002    0.6268   -4509.7780  0.2856 
   00003    0.6032   -5028.5177  0.2960 
   00004    0.5596   -5499.5437  0.3147 
   00005    0.5420   -5925.6571  0.3347 
   00006    0.5256   -6231.1989  0.3391 
   00007    0.5060   -6444.3386  0.3476 
   00008    0.4852   -6676.9577  0.3513 
   00009    0.4932   -6769.5776  0.3574 
   00010    0.4900   -6820.4834  0.3621 
   00011    0.4748   -6969.8575  0.3686 
   00012    0.4736   -7045.7976  0.3721 
   00013    0.4800   -7177.6429  0.3776 
   00014    0.4624   -7235.6084  0.3822 
   00015    0.4680   -7342.0195  0.3849 
   00016    0.4600   -7392.2836  0.3920 
   00017    0.4524   -7461.8468  0.3880 
   00018    0.4608   -7552.9545  0.3967 
   00019    0.4656   -7665.2033  0.4025 
   00020    0.4540   -7664.2380  0.4070 
   00021    0.4456   -7679.2528  0.4049 
   00022    0.4408   -7702.0114  0.4132 
   00023    0.4444   -7772.5819  0.4187 
   00024    0.4424   -7786.4653  0.4154 
   00025    0.4564   -7812.7950  0.4218 
   00026    0.4404   -7857.3369  0.4280 
   00027    0.4480   -7909.0292  0.4305 
   00028    0.4332   -7895.8807  0.4351 
   00029    0.4288   -7899.6852  0.4337 
   00030    0.4324   -7960.4405  0.4417 
   00031    0.4380   -8001.4623  0.4368 
   00032    0.4224   -8002.0394  0.4429 
   00033    0.4336   -8016.9082  0.4328 
   00034    0.4196   -8044.2219  0.4352 
   00035    0.4108   -8083.7519  0.4406 
   00036    0.4388   -8007.8095  0.4424 
   00037    0.4360   -8037.0045  0.4472 
   00038    0.4272   -8068.0989  0.4449 
   00039    0.4228   -8131.1368  0.4515 
   00040    0.4172   -8128.8234  0.4460 
   00041    0.4180   -8107.9603  0.4483 
   00042    0.4208   -8092.5419  0.4507 
