#=====================================================
# File created:        Tue-18-Feb-2025-at-06-19-36PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.293439
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2413.7416  0.2570 
   00001    0.6844   -3615.3726  0.2571 
   00002    0.6240   -4411.6624  0.2594 
   00003    0.6032   -4957.0829  0.2630 
   00004    0.5572   -5437.9044  0.2686 
   00005    0.5500   -5805.2645  0.2764 
   00006    0.5288   -6063.1500  0.2625 
   00007    0.5052   -6364.8087  0.2664 
   00008    0.5116   -6555.7718  0.2640 
   00009    0.4928   -6664.8514  0.2599 
   00010    0.4984   -6809.4529  0.2588 
   00011    0.4724   -6923.6912  0.2644 
   00012    0.4688   -7032.7261  0.2693 
   00013    0.4668   -7102.2900  0.2689 
   00014    0.4748   -7194.3706  0.2665 
   00015    0.4708   -7294.0407  0.2646 
   00016    0.4664   -7353.5259  0.2694 
   00017    0.4596   -7423.3161  0.2743 
   00018    0.4644   -7462.3166  0.2680 
   00019    0.4284   -7510.6650  0.2653 
   00020    0.4656   -7553.9318  0.2580 
   00021    0.4472   -7635.6262  0.2611 
   00022    0.4388   -7615.3983  0.2683 
   00023    0.4488   -7648.3039  0.2674 
   00024    0.4456   -7673.3644  0.2695 
   00025    0.4508   -7694.0344  0.2650 
   00026    0.4420   -7756.0929  0.2639 
   00027    0.4432   -7789.0123  0.2651 
   00028    0.4636   -7770.5026  0.2715 
   00029    0.4280   -7860.0368  0.2735 
   00030    0.4308   -7841.5641  0.2731 
   00031    0.4304   -7812.6505  0.2671 
   00032    0.4260   -7818.9366  0.2676 
   00033    0.4212   -7873.1227  0.2664 
   00034    0.4380   -7927.9077  0.2724 
   00035    0.4416   -7890.5293  0.2734 
   00036    0.4344   -7930.3982  0.2798 
   00037    0.4316   -7895.9710  0.2777 
   00038    0.4572   -7899.7474  0.2739 
   00039    0.4332   -7910.0848  0.2755 
   00040    0.4196   -7936.7012  0.2787 
   00041    0.4228   -7982.6910  0.2754 
   00042    0.4352   -8049.1095  0.2755 
   00043    0.4308   -8059.5875  0.2730 
   00044    0.4312   -8074.7195  0.2771 
   00045    0.4188   -8058.1637  0.2841 
   00046    0.4312   -8076.7675  0.2806 
   00047    0.4108   -8125.7200  0.2823 
   00048    0.4268   -8108.5433  0.2843 
   00049    0.4260   -8118.3879  0.2847 
   00050    0.4296   -8124.8669  0.2893 
