#=====================================================
# File created:        Tue-18-Feb-2025-at-06-08-06PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.070574
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2586.7153  0.2673 
   00001    0.6792   -3725.6822  0.2709 
   00002    0.6144   -4472.8367  0.2675 
   00003    0.5604   -5085.3116  0.2746 
   00004    0.5472   -5547.8385  0.2781 
   00005    0.5296   -5986.7741  0.2783 
   00006    0.5208   -6321.0958  0.2846 
   00007    0.5040   -6553.2132  0.2832 
   00008    0.4980   -6722.6423  0.2818 
   00009    0.4856   -6908.9227  0.2879 
   00010    0.4680   -7013.9610  0.2981 
   00011    0.4696   -7107.5115  0.3117 
   00012    0.4688   -7222.9498  0.3053 
   00013    0.4632   -7285.7457  0.3053 
   00014    0.4576   -7346.1404  0.3014 
   00015    0.4580   -7385.2648  0.2954 
   00016    0.4644   -7430.9900  0.2938 
   00017    0.4544   -7521.8392  0.2874 
   00018    0.4416   -7518.6952  0.2922 
   00019    0.4364   -7580.5568  0.2975 
   00020    0.4608   -7659.1488  0.2998 
   00021    0.4472   -7680.9826  0.2984 
   00022    0.4444   -7753.3234  0.3030 
   00023    0.4504   -7716.3688  0.3045 
   00024    0.4480   -7762.3969  0.3018 
   00025    0.4432   -7817.8952  0.2951 
   00026    0.4364   -7821.7245  0.2922 
   00027    0.4508   -7849.5242  0.2922 
   00028    0.4400   -7875.5648  0.2893 
   00029    0.4292   -7883.2442  0.2893 
   00030    0.4364   -7855.3339  0.2938 
   00031    0.4124   -7855.6417  0.2983 
   00032    0.4408   -7902.0079  0.2993 
   00033    0.4256   -7917.8826  0.3003 
   00034    0.4568   -7918.1488  0.3061 
   00035    0.4468   -8019.7993  0.3015 
   00036    0.4364   -7976.4918  0.2984 
   00037    0.4340   -7975.7362  0.3021 
   00038    0.4132   -8003.2025  0.3008 
   00039    0.4300   -8050.2667  0.2967 
   00040    0.4312   -8027.6204  0.2936 
   00041    0.4220   -8014.0854  0.2942 
   00042    0.4264   -7982.5800  0.2884 
   00043    0.4144   -8008.8476  0.2804 
   00044    0.4268   -8018.5425  0.2843 
   00045    0.4356   -8020.1553  0.2825 
   00046    0.4332   -7978.8926  0.2792 
   00047    0.4408   -7995.3909  0.2785 
   00048    0.4408   -7988.7645  0.2868 
   00049    0.4468   -7992.6475  0.2859 
   00050    0.4368   -8024.0866  0.2812 
