numba_no_vectorisation.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.269, Time: 1.131530 s
         8144851 function calls (7779133 primitive calls) in 6.809 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    22220    1.710    0.000    2.076    0.000 ffi.py:195(__call__)
207566/36240    0.209    0.000    0.330    0.000 ir.py:321(_rec_list_vars)
  1330445    0.198    0.000    0.243    0.000 {built-in method builtins.isinstance}
120798/60198    0.094    0.000    0.286    0.000 {method 'format' of 'str' objects}
      710    0.081    0.000    0.081    0.000 {built-in method marshal.loads}
     7559    0.079    0.000    0.140    0.000 inspect.py:875(cleandoc)
282279/281906    0.074    0.000    0.128    0.000 {built-in method builtins.getattr}
        1    0.068    0.068    5.821    5.821 numba_no_vectorisation.py:287(main)
   110042    0.066    0.000    0.158    0.000 event.py:243(notify)
    50842    0.049    0.000    0.212    0.000 event.py:209(broadcast)
     4748    0.047    0.000    0.048    0.000 controlflow.py:368(_add_edge)
  1296/81    0.045    0.000    5.387    0.067 compiler_machinery.py:267(_runPass)
   186176    0.043    0.000    0.043    0.000 {method 'startswith' of 'str' objects}
19646/19032    0.041    0.000    0.050    0.000 {built-in method __new__ of type object at 0x559ecd5d4660}
308791/301506    0.038    0.000    0.040    0.000 {built-in method builtins.len}
64871/27398    0.037    0.000    0.257    0.000 _utils.py:44(__str__)
3341/3249    0.037    0.000    0.501    0.000 {built-in method builtins.__build_class__}
    82/81    0.036    0.000    0.041    0.001 {built-in method _imp.create_dynamic}
    19612    0.036    0.000    0.222    0.000 values.py:544(_to_string)
      480    0.036    0.000    0.240    0.001 analysis.py:23(compute_use_defs)
    83939    0.035    0.000    0.058    0.000 targetconfig.py:111(getter)
   145163    0.034    0.000    0.051    0.000 {method 'get' of 'dict' objects}
   173315    0.033    0.000    0.033    0.000 {method 'append' of 'list' objects}
    25421    0.032    0.000    0.186    0.000 event.py:404(end_event)
     5228    0.032    0.000    0.033    0.000 compiler_machinery.py:428(is_registered)
    18848    0.031    0.000    0.124    0.000 instructions.py:13(__init__)
70175/66871    0.031    0.000    0.195    0.000 {built-in method builtins.next}
50359/50029    0.031    0.000    0.069    0.000 _utils.py:54(get_reference)
57517/48405    0.031    0.000    0.053    0.000 abstract.py:121(__hash__)
    25421    0.031    0.000    0.147    0.000 event.py:390(start_event)
   166202    0.030    0.000    0.030    0.000 {method 'extend' of 'list' objects}
62811/62370    0.028    0.000    0.068    0.000 {method 'join' of 'str' objects}
    55021    0.027    0.000    0.043    0.000 event.py:270(on_end)
      227    0.026    0.000    0.082    0.000 artist.py:1433(get_aliases)
    25036    0.026    0.000    0.048    0.000 _utils.py:24(deduplicate)
     3136    0.024    0.000    0.024    0.000 {built-in method posix.stat}
      496    0.022    0.000    0.022    0.000 {built-in method builtins.dir}
    51382    0.022    0.000    0.037    0.000 event.py:66(_guard_kind)
40322/39266    0.022    0.000    0.028    0.000 abstract.py:124(__eq__)
    25050    0.022    0.000    0.111    0.000 values.py:537(__init__)
    60112    0.021    0.000    0.028    0.000 {built-in method _abc._abc_instancecheck}
    50842    0.021    0.000    0.057    0.000 event.py:100(__init__)
    10256    0.020    0.000    0.020    0.000 {method 'search' of 're.Pattern' objects}
18672/17680    0.020    0.000    1.122    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
    16841    0.020    0.000    0.024    0.000 contextlib.py:104(__init__)
       57    0.020    0.000    0.020    0.000 {built-in method _io.open}
  866/471    0.020    0.000    3.727    0.008 functions.py:281(get_call_type)
     3468    0.019    0.000    0.094    0.000 targetconfig.py:197(values)
     1352    0.019    0.000    0.019    0.000 _parser.py:113(__init__)
      710    0.019    0.000    0.019    0.000 {built-in method _io.open_code}
67777/67541    0.018    0.000    0.042    0.000 {built-in method builtins.hasattr}
    25970    0.018    0.000    0.072    0.000 _utils.py:16(register)
      432    0.018    0.000    0.040    0.000 analysis.py:118(compute_dead_maps)
    81255    0.018    0.000    0.020    0.000 {method 'add' of 'set' objects}
     1614    0.018    0.000    0.055    0.000 inspect.py:2366(_signature_from_function)
    22220    0.017    0.000    0.164    0.000 ffi.py:77(__enter__)
    22220    0.017    0.000    0.198    0.000 ffi.py:83(__exit__)
     2852    0.017    0.000    0.057    0.000 utils.py:306(order_by_target_specificity)
   110042    0.017    0.000    0.017    0.000 event.py:138(is_start)
   109340    0.017    0.000    0.017    0.000 {built-in method time.perf_counter}
    55021    0.017    0.000    0.025    0.000 event.py:265(on_start)
      227    0.017    0.000    0.056    0.000 artist.py:1511(get_setters)
      144    0.017    0.000    0.064    0.000 postproc.py:179(_patch_var_dels)
    25970    0.016    0.000    0.088    0.000 values.py:557(_set_name)
     9495    0.016    0.000    0.029    0.000 inspect.py:2712(__init__)
    60112    0.016    0.000    0.044    0.000 <frozen abc>:117(__instancecheck__)
    90195    0.016    0.000    0.016    0.000 {method 'lstrip' of 'str' objects}
      754    0.016    0.000    0.048    0.000 numpy_support.py:380(ufunc_find_matching_loop)
    69195    0.016    0.000    0.016    0.000 {built-in method builtins.min}
    11551    0.015    0.000    0.045    0.000 weakref.py:414(__getitem__)
    29972    0.015    0.000    0.032    0.000 utils.py:475(stream_list)
     7907    0.015    0.000    0.016    0.000 numpy_support.py:362(ufunc_can_cast)
    16268    0.015    0.000    0.024    0.000 {built-in method builtins.sorted}
5635/2069    0.015    0.000    0.114    0.000 context.py:343(get_meminfos)
     4409    0.014    0.000    0.170    0.000 artist.py:1461(get_valid_values)
    18876    0.014    0.000    0.026    0.000 values.py:564(_get_reference)
      710    0.014    0.000    0.014    0.000 {method 'read' of '_io.BufferedReader' objects}
64229/54706    0.014    0.000    0.022    0.000 {built-in method builtins.hash}
23392/17700    0.014    0.000    0.016    0.000 {built-in method _abc._abc_subclasscheck}
     1200    0.013    0.000    0.088    0.000 analysis.py:235(compute_cfg_from_blocks)
    16841    0.013    0.000    0.037    0.000 contextlib.py:299(helper)
2463/1605    0.013    0.000    1.989    0.001 lowering.py:455(lower_inst)
    18848    0.013    0.000    0.017    0.000 builder.py:351(_insert)
    30150    0.013    0.000    0.294    0.000 ir.py:354(list_vars)
     1035    0.013    0.000    0.015    0.000 analysis.py:81(def_reach)
    60887    0.012    0.000    0.012    0.000 {method 'values' of 'dict' objects}
    28994    0.012    0.000    0.021    0.000 ir.py:1293(find_insts)
1785/1647    0.012    0.000    0.075    0.000 inspect.py:2470(_signature_from_callable)
        2    0.012    0.006    0.012    0.006 {built-in method _ctypes.dlopen}
      592    0.012    0.000    0.056    0.000 context.py:615(resolve_overload)
4284/2070    0.012    0.000    0.104    0.000 context.py:407(install_registry)
  625/271    0.012    0.000    0.048    0.000 _parser.py:512(_parse)
16841/15214    0.012    0.000    0.057    0.000 contextlib.py:141(__exit__)
    22217    0.011    0.000    0.140    0.000 base.py:1246(enter_fn)
    22217    0.011    0.000    0.175    0.000 base.py:1249(exit_fn)
     5534    0.011    0.000    0.069    0.000 builder.py:968(extract_value)
      710    0.011    0.000    0.093    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
16841/15189    0.011    0.000    0.115    0.000 contextlib.py:132(__enter__)
     4190    0.010    0.000    0.038    0.000 context.py:565(_rate_arguments)
    34226    0.010    0.000    0.049    0.000 templates.py:1322(new_registrations)
     1977    0.010    0.000    0.015    0.000 inspect.py:2998(__init__)
     5534    0.010    0.000    0.019    0.000 instructions.py:708(descr)
    47515    0.009    0.000    0.009    0.000 _utils.py:13(is_used)
    74324    0.009    0.000    0.009    0.000 abstract.py:96(key)
    82/69    0.009    0.000    0.020    0.000 {built-in method _imp.exec_dynamic}
     1128    0.009    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     8372    0.009    0.000    0.087    0.000 __init__.py:280(_compile)
      885    0.009    0.000    0.012    0.000 analysis.py:91(liveness)
