#=====================================================
# File created:        Tue-18-Feb-2025-at-10-21-52AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        77.187656
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2496.4591  0.2693 
   00001    0.6776   -3738.6571  0.2697 
   00002    0.6116   -4404.7908  0.2729 
   00003    0.5840   -4993.5075  0.2796 
   00004    0.5540   -5377.9776  0.2859 
   00005    0.5432   -5731.9821  0.2786 
   00006    0.5332   -5997.5449  0.2787 
   00007    0.5168   -6261.6777  0.2791 
   00008    0.5064   -6424.2125  0.2827 
   00009    0.4992   -6545.0816  0.2874 
   00010    0.4832   -6677.3056  0.2819 
   00011    0.4748   -6810.9184  0.2843 
   00012    0.4900   -6901.9042  0.2859 
   00013    0.4892   -6970.2949  0.2915 
   00014    0.4592   -7078.3668  0.2927 
   00015    0.4660   -7134.5757  0.2896 
   00016    0.4744   -7249.5140  0.2970 
   00017    0.4640   -7296.0545  0.2891 
   00018    0.4560   -7358.7309  0.2876 
   00019    0.4596   -7439.7454  0.2977 
   00020    0.4544   -7490.1355  0.3018 
   00021    0.4592   -7507.8144  0.3040 
   00022    0.4452   -7589.9337  0.3066 
   00023    0.4548   -7672.4527  0.3022 
   00024    0.4336   -7668.2534  0.3026 
   00025    0.4408   -7763.3891  0.3064 
   00026    0.4540   -7812.8415  0.3094 
   00027    0.4264   -7827.9379  0.3131 
   00028    0.4256   -7842.2280  0.3137 
   00029    0.4272   -7873.3698  0.3124 
   00030    0.4444   -7882.8045  0.3223 
   00031    0.4336   -7938.8139  0.3180 
   00032    0.4320   -7892.9802  0.3189 
   00033    0.4320   -7910.7007  0.3198 
   00034    0.4416   -7937.1139  0.3163 
   00035    0.4444   -7997.8530  0.3297 
   00036    0.4516   -8013.5562  0.3268 
   00037    0.4464   -8025.9259  0.3239 
   00038    0.4248   -7997.3416  0.3318 
   00039    0.4276   -7997.3354  0.3357 
   00040    0.4232   -8026.9537  0.3346 
   00041    0.4260   -8091.6373  0.3438 
   00042    0.4072   -8096.5873  0.3467 
   00043    0.4188   -8137.5460  0.3485 
   00044    0.4156   -8115.9182  0.3493 
   00045    0.4444   -8082.0656  0.3503 
   00046    0.4188   -8083.7285  0.3515 
   00047    0.4416   -8063.9494  0.3508 
   00048    0.4308   -8103.6533  0.3499 
   00049    0.4256   -8076.0749  0.3517 
   00050    0.4360   -8080.6234  0.3407 
   00051    0.4200   -8083.4266  0.3379 
   00052    0.4376   -8126.7239  0.3377 
   00053    0.4172   -8120.1760  0.3412 
   00054    0.4124   -8136.6783  0.3365 
   00055    0.4236   -8111.5038  0.3333 
   00056    0.4296   -8148.2656  0.3358 
   00057    0.4144   -8176.9579  0.3348 
   00058    0.4200   -8145.6922  0.3312 
   00059    0.4144   -8134.7873  0.3401 
   00060    0.4072   -8201.0473  0.3510 
   00061    0.4204   -8201.0821  0.3544 
   00062    0.4264   -8207.8141  0.3543 
   00063    0.4132   -8204.4989  0.3555 
   00064    0.4056   -8190.6949  0.3621 
   00065    0.4256   -8219.8681  0.3677 
   00066    0.4216   -8190.7732  0.3687 
   00067    0.4096   -8197.2914  0.3654 
   00068    0.4304   -8227.2826  0.3585 
   00069    0.4308   -8235.5676  0.3615 
   00070    0.4216   -8207.6080  0.3594 
   00071    0.4300   -8205.3853  0.3659 
   00072    0.4320   -8252.9511  0.3671 
   00073    0.4192   -8282.3902  0.3642 
   00074    0.4188   -8274.8835  0.3626 
   00075    0.4344   -8288.6745  0.3612 
   00076    0.4148   -8330.6487  0.3602 
   00077    0.4008   -8290.6381  0.3615 
   00078    0.4172   -8332.0389  0.3643 
   00079    0.4096   -8350.5103  0.3607 
   00080    0.4132   -8372.5057  0.3673 
   00081    0.4020   -8347.5728  0.3702 
   00082    0.4108   -8357.4372  0.3662 
   00083    0.3952   -8368.1609  0.3707 
   00084    0.4200   -8352.6950  0.3755 
   00085    0.4128   -8319.4151  0.3748 
   00086    0.4240   -8338.8664  0.3780 
   00087    0.4080   -8340.2973  0.3792 
   00088    0.4152   -8355.8624  0.3783 
   00089    0.4260   -8308.3755  0.3761 
   00090    0.4064   -8298.4917  0.3700 
   00091    0.4076   -8274.1904  0.3687 
   00092    0.3956   -8331.0957  0.3776 
   00093    0.4152   -8310.8195  0.3827 
   00094    0.4216   -8353.5442  0.3793 
   00095    0.4032   -8353.0104  0.3770 
   00096    0.4008   -8341.9889  0.3763 
   00097    0.4080   -8297.6818  0.3751 
   00098    0.4336   -8301.1892  0.3773 
   00099    0.4264   -8318.9768  0.3765 
   00100    0.4080   -8314.9203  0.3781 
   00101    0.4108   -8325.7362  0.3817 
   00102    0.4296   -8275.4311  0.3803 
   00103    0.4228   -8248.2417  0.3802 
   00104    0.4268   -8282.1852  0.3770 
   00105    0.4228   -8322.7401  0.3782 
   00106    0.4124   -8318.7641  0.3772 
   00107    0.4120   -8327.8004  0.3782 
   00108    0.4136   -8314.9261  0.3852 
   00109    0.4324   -8307.1459  0.3878 
   00110    0.4136   -8371.0746  0.3882 
   00111    0.4232   -8389.1057  0.3861 
   00112    0.4216   -8354.4360  0.3919 
   00113    0.4420   -8368.6946  0.3910 
