#=====================================================
# File created:        Sat-22-Feb-2025-at-12-52-00AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.042664
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2498.6343  0.2641 
   00001    0.6736   -3683.4409  0.2570 
   00002    0.6184   -4500.2388  0.2652 
   00003    0.5856   -5061.0054  0.2708 
   00004    0.5520   -5473.4311  0.2762 
   00005    0.5264   -5762.1832  0.2742 
   00006    0.5092   -6057.3176  0.2949 
   00007    0.5284   -6308.5140  0.2889 
   00008    0.4908   -6502.5117  0.2993 
   00009    0.5168   -6701.3360  0.3098 
   00010    0.4760   -6834.1659  0.3071 
   00011    0.5048   -6872.1656  0.3053 
   00012    0.5008   -7007.2772  0.3011 
   00013    0.4600   -7132.3946  0.3032 
   00014    0.4444   -7232.4770  0.3050 
   00015    0.4556   -7309.3318  0.3071 
   00016    0.4564   -7386.7932  0.3062 
   00017    0.4496   -7383.0726  0.3067 
   00018    0.4632   -7429.5175  0.2964 
   00019    0.4484   -7516.0068  0.2894 
   00020    0.4340   -7566.9133  0.2853 
   00021    0.4516   -7653.2045  0.2850 
   00022    0.4304   -7649.5899  0.2859 
   00023    0.4444   -7708.7579  0.2919 
   00024    0.4296   -7654.0339  0.2928 
   00025    0.4552   -7669.9894  0.3045 
   00026    0.4540   -7641.7829  0.3064 
   00027    0.4444   -7674.3547  0.3073 
   00028    0.4232   -7693.7705  0.3202 
   00029    0.4472   -7700.8308  0.3180 
   00030    0.4384   -7737.7115  0.3114 
   00031    0.4576   -7769.5244  0.3101 
   00032    0.4124   -7829.8071  0.3087 
   00033    0.4472   -7861.0141  0.3064 
   00034    0.4464   -7899.0411  0.3085 
   00035    0.4232   -7862.7676  0.3086 
   00036    0.4176   -7896.5396  0.3121 
   00037    0.4288   -7916.8235  0.3212 
   00038    0.4396   -7916.7631  0.3245 
   00039    0.4288   -7924.6079  0.3180 
   00040    0.4496   -7964.4342  0.3248 
   00041    0.4368   -7970.3339  0.3276 
   00042    0.4400   -7983.9227  0.3376 
   00043    0.4304   -8008.3570  0.3390 
   00044    0.4228   -8059.3373  0.3448 
   00045    0.4168   -8076.1080  0.3395 
   00046    0.4384   -8078.3310  0.3455 
   00047    0.4272   -8072.1250  0.3419 
   00048    0.4216   -8078.8370  0.3473 
   00049    0.4096   -8104.1518  0.3454 
   00050    0.4212   -8135.6166  0.3495 
