#=====================================================
# File created:        Thu-20-Feb-2025-at-12-07-29PM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        0.420720
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2545.0268  0.2600 
   00001    0.6832   -3739.4231  0.2647 
   00002    0.6336   -4564.8558  0.2683 
   00003    0.5808   -5022.6195  0.2749 
   00004    0.5556   -5428.2763  0.2968 
   00005    0.5516   -5735.1549  0.3004 
   00006    0.5356   -6087.5144  0.3145 
   00007    0.5108   -6288.4638  0.3237 
   00008    0.5048   -6505.0356  0.3306 
   00009    0.4764   -6698.5477  0.3462 
   00010    0.4964   -6824.0712  0.3462 
   00011    0.4908   -6907.4948  0.3547 
   00012    0.4780   -7065.1721  0.3555 
   00013    0.4672   -7187.5852  0.3587 
   00014    0.4692   -7307.3223  0.3578 
   00015    0.4568   -7377.1488  0.3623 
   00016    0.4632   -7438.6872  0.3675 
   00017    0.4416   -7487.6518  0.3714 
   00018    0.4560   -7554.8468  0.3801 
   00019    0.4488   -7608.6608  0.3775 
   00020    0.4424   -7647.7260  0.3807 
   00021    0.4252   -7673.5782  0.3768 
   00022    0.4372   -7739.8436  0.3746 
   00023    0.4208   -7742.5599  0.3715 
   00024    0.4364   -7748.7587  0.3791 
   00025    0.4416   -7814.6077  0.3822 
   00026    0.4372   -7798.7230  0.3838 
   00027    0.4172   -7859.8758  0.3889 
   00028    0.4384   -7891.0514  0.3894 
   00029    0.4408   -7875.0092  0.3913 
   00030    0.4320   -7845.7176  0.3939 
   00031    0.4268   -7877.1032  0.3913 
   00032    0.4364   -7913.7127  0.3940 
   00033    0.4196   -7898.2325  0.3923 
   00034    0.4240   -7941.1604  0.4015 
   00035    0.4220   -7962.7811  0.3996 
   00036    0.4312   -7989.7273  0.4052 
   00037    0.4340   -7988.7488  0.4117 
   00038    0.4388   -8003.7776  0.4142 
   00039    0.4188   -7992.7711  0.4085 
   00040    0.4372   -7996.4860  0.4004 
   00041    0.4132   -7985.2355  0.4026 
   00042    0.4228   -8062.9050  0.3972 
   00043    0.4276   -8078.9645  0.3938 
   00044    0.4328   -8047.9075  0.3894 
   00045    0.4384   -8032.0129  0.3876 
   00046    0.4120   -8117.6891  0.3984 
   00047    0.4264   -8118.9832  0.4012 
   00048    0.4232   -8091.9922  0.3984 
   00049    0.4124   -8098.4577  0.3971 
   00050    0.4424   -8110.2059  0.3948 
   00051    0.4336   -8152.9387  0.3947 
   00052    0.4536   -8143.3886  0.3922 
   00053    0.4112   -8141.4269  0.3917 
   00054    0.4288   -8161.6296  0.3920 
   00055    0.4220   -8147.5380  0.3867 
   00056    0.4252   -8167.2541  0.3863 
   00057    0.4028   -8157.9912  0.3863 
   00058    0.4088   -8137.9577  0.3836 
   00059    0.4232   -8165.6996  0.3838 
   00060    0.4300   -8182.8085  0.3818 
   00061    0.4184   -8164.1588  0.3851 
   00062    0.4120   -8147.9250  0.3824 
   00063    0.4360   -8106.0424  0.3852 
   00064    0.4208   -8070.9099  0.3850 
   00065    0.4264   -8089.7482  0.3784 
   00066    0.4180   -8133.6400  0.3727 
   00067    0.4292   -8177.8057  0.3792 
   00068    0.4312   -8186.9411  0.3807 
   00069    0.4260   -8205.4106  0.3749 
   00070    0.4160   -8206.7818  0.3699 
   00071    0.4212   -8223.6441  0.3705 
   00072    0.4304   -8222.7326  0.3728 
   00073    0.4232   -8255.3449  0.3685 
   00074    0.4124   -8255.6411  0.3724 
   00075    0.4388   -8230.6412  0.3746 
   00076    0.4232   -8260.7026  0.3725 
   00077    0.4276   -8280.8890  0.3751 
   00078    0.4380   -8277.8141  0.3810 
   00079    0.4172   -8269.3643  0.3765 
   00080    0.4060   -8272.5526  0.3718 
   00081    0.4080   -8278.3188  0.3725 
   00082    0.4228   -8280.1659  0.3780 
   00083    0.4232   -8336.5007  0.3774 
   00084    0.4060   -8323.4280  0.3782 
   00085    0.4504   -8315.8778  0.3829 
   00086    0.4268   -8302.4304  0.3886 
   00087    0.4204   -8336.5716  0.3917 
   00088    0.4028   -8319.4134  0.3859 
   00089    0.4164   -8318.9940  0.3917 
   00090    0.4204   -8308.0435  0.3875 
   00091    0.4124   -8294.5666  0.3906 
   00092    0.4136   -8257.0037  0.3906 
   00093    0.4328   -8273.0219  0.3868 
   00094    0.4180   -8286.4374  0.3891 
   00095    0.4340   -8247.6785  0.3910 
   00096    0.4208   -8249.7766  0.3908 
   00097    0.4140   -8264.9974  0.3886 
   00098    0.4188   -8301.0967  0.3859 
   00099    0.4300   -8347.5717  0.3843 
   00100    0.4112   -8325.3446  0.3776 
   00101    0.4236   -8313.6974  0.3837 
   00102    0.4312   -8329.4523  0.3799 
   00103    0.4360   -8272.2535  0.3778 
   00104    0.4148   -8298.5766  0.3750 
   00105    0.4088   -8283.9730  0.3740 
   00106    0.4164   -8285.5772  0.3696 
   00107    0.4260   -8285.0821  0.3702 
   00108    0.4172   -8273.0596  0.3707 
   00109    0.4184   -8269.6998  0.3708 
   00110    0.4292   -8314.9806  0.3783 
   00111    0.4064   -8332.7960  0.3736 
   00112    0.4164   -8286.7021  0.3715 
   00113    0.4200   -8272.0637  0.3658 
   00114    0.4164   -8300.9597  0.3569 
   00115    0.4260   -8317.6282  0.3506 
   00116    0.4204   -8311.1365  0.3468 
   00117    0.4128   -8330.7807  0.3552 
   00118    0.4220   -8265.5382  0.3526 
   00119    0.4024   -8337.6672  0.3633 
   00120    0.4052   -8334.0568  0.3660 
   00121    0.4168   -8328.4772  0.3708 
   00122    0.4224   -8348.8190  0.3666 
   00123    0.4208   -8316.5187  0.3718 
   00124    0.4188   -8301.6235  0.3696 
   00125    0.4224   -8322.7963  0.3691 
   00126    0.4068   -8283.0921  0.3690 
   00127    0.4208   -8330.3273  0.3641 
   00128    0.4220   -8337.9889  0.3663 
   00129    0.4216   -8288.9565  0.3619 
   00130    0.4168   -8315.3609  0.3590 
   00131    0.4148   -8323.0922  0.3561 
   00132    0.4300   -8307.7863  0.3548 
   00133    0.4140   -8346.7337  0.3577 
   00134    0.4168   -8341.6490  0.3542 
   00135    0.4260   -8351.6222  0.3561 
   00136    0.4156   -8330.9736  0.3560 
   00137    0.4220   -8281.5974  0.3536 
   00138    0.4224   -8316.6148  0.3531 
   00139    0.4296   -8331.3683  0.3562 
   00140    0.4176   -8340.6350  0.3567 
   00141    0.4124   -8345.1128  0.3566 
   00142    0.4216   -8394.3301  0.3595 
   00143    0.4140   -8418.6296  0.3509 
   00144    0.4136   -8371.2266  0.3504 
   00145    0.4164   -8363.4052  0.3506 
   00146    0.4000   -8337.4589  0.3426 
   00147    0.4008   -8350.6346  0.3472 
   00148    0.4144   -8380.6531  0.3430 
   00149    0.4204   -8362.2445  0.3398 
   00150    0.4248   -8361.3826  0.3396 
   00151    0.4272   -8377.0943  0.3431 
   00152    0.4292   -8361.6024  0.3416 
   00153    0.4076   -8405.4351  0.3407 
   00154    0.4172   -8411.2855  0.3387 
   00155    0.4164   -8403.1403  0.3351 
   00156    0.4260   -8378.3235  0.3361 
   00157    0.4288   -8341.1927  0.3357 
   00158    0.4140   -8361.7599  0.3309 
   00159    0.4100   -8414.5956  0.3282 
   00160    0.4076   -8422.3221  0.3245 
   00161    0.3812   -8408.7444  0.3199 
   00162    0.4216   -8373.5073  0.3227 
   00163    0.4076   -8369.0658  0.3242 
   00164    0.4384   -8392.6689  0.3296 
   00165    0.4024   -8361.4922  0.3275 
   00166    0.4024   -8392.5519  0.3204 
   00167    0.4216   -8349.8980  0.3185 
   00168    0.4176   -8361.3164  0.3180 
   00169    0.4028   -8362.4569  0.3217 
   00170    0.4080   -8379.6437  0.3219 
   00171    0.3956   -8393.2111  0.3196 
   00172    0.4152   -8354.3569  0.3191 
   00173    0.4064   -8369.5962  0.3201 
   00174    0.4116   -8422.8754  0.3255 
   00175    0.4248   -8393.2851  0.3247 
   00176    0.4364   -8394.2981  0.3265 
   00177    0.4004   -8410.7604  0.3251 
   00178    0.4008   -8407.4463  0.3347 
   00179    0.4256   -8360.2918  0.3335 
   00180    0.4112   -8395.7038  0.3334 
   00181    0.3996   -8389.3818  0.3352 
   00182    0.4256   -8410.3010  0.3328 
   00183    0.4260   -8406.9740  0.3291 
   00184    0.4384   -8366.9133  0.3300 
   00185    0.4084   -8394.3068  0.3286 
   00186    0.4196   -8408.6915  0.3324 
   00187    0.4032   -8412.6240  0.3314 
   00188    0.4172   -8425.8976  0.3279 
   00189    0.4120   -8415.4351  0.3266 
   00190    0.4156   -8392.9171  0.3308 
   00191    0.4204   -8443.0953  0.3352 
   00192    0.4300   -8459.0735  0.3335 
   00193    0.4024   -8406.1041  0.3289 
   00194    0.4224   -8387.5937  0.3313 
   00195    0.4080   -8415.3598  0.3343 
   00196    0.4128   -8400.7927  0.3367 
   00197    0.3996   -8421.6223  0.3275 
   00198    0.4052   -8462.7547  0.3144 
   00199    0.4032   -8440.3041  0.3031 
   00200    0.4180   -8441.3552  0.3043 
   00201    0.4380   -8420.3671  0.3068 
   00202    0.4124   -8419.1156  0.3055 
   00203    0.4028   -8433.7048  0.3034 
   00204    0.4128   -8469.6017  0.3057 
   00205    0.4252   -8472.2969  0.3109 
   00206    0.4280   -8464.0766  0.3041 
   00207    0.3980   -8447.6507  0.3092 
   00208    0.4200   -8432.2235  0.3086 
   00209    0.4152   -8460.1483  0.3077 
   00210    0.4084   -8433.9395  0.3062 
   00211    0.4248   -8427.3475  0.3084 
   00212    0.4180   -8406.4356  0.3033 
   00213    0.4268   -8402.3983  0.3041 
   00214    0.4060   -8403.1428  0.3033 
   00215    0.4272   -8422.8666  0.3121 
   00216    0.4260   -8379.6731  0.3183 
   00217    0.4008   -8405.4846  0.3185 
   00218    0.4172   -8409.9841  0.3201 
   00219    0.4356   -8371.1897  0.3185 
   00220    0.4356   -8347.4041  0.3149 
   00221    0.4184   -8341.7096  0.3154 
   00222    0.4208   -8397.9994  0.3237 
   00223    0.4332   -8388.3474  0.3241 
   00224    0.4160   -8363.2555  0.3291 
   00225    0.4028   -8403.4265  0.3278 
   00226    0.4116   -8455.8036  0.3221 
   00227    0.4140   -8401.1176  0.3240 
   00228    0.4228   -8401.6199  0.3270 
   00229    0.4176   -8395.2223  0.3270 
   00230    0.4120   -8424.7193  0.3336 
   00231    0.4300   -8455.6157  0.3342 
   00232    0.4088   -8428.5564  0.3377 
   00233    0.4040   -8429.9712  0.3376 
   00234    0.4100   -8431.6726  0.3388 
   00235    0.4096   -8477.9262  0.3444 
   00236    0.4208   -8470.6844  0.3440 
   00237    0.4192   -8474.9583  0.3475 
   00238    0.4136   -8426.7931  0.3457 
   00239    0.4192   -8398.0917  0.3473 
   00240    0.4224   -8384.8937  0.3468 
   00241    0.4192   -8390.6440  0.3399 
   00242    0.4100   -8393.6678  0.3380 
   00243    0.4212   -8386.5189  0.3371 
   00244    0.4056   -8374.7106  0.3290 
   00245    0.4100   -8405.7067  0.3346 
   00246    0.4108   -8371.4039  0.3376 
   00247    0.4136   -8379.9102  0.3407 
   00248    0.4192   -8364.8887  0.3399 
   00249    0.4120   -8356.2260  0.3326 
   00250    0.3996   -8389.1802  0.3357 
   00251    0.4128   -8434.2907  0.3440 
   00252    0.4208   -8442.7400  0.3421 
   00253    0.4152   -8437.8358  0.3410 
   00254    0.4188   -8418.6006  0.3400 
   00255    0.4044   -8384.7814  0.3390 
   00256    0.4168   -8361.3711  0.3421 
   00257    0.4116   -8377.3257  0.3371 
   00258    0.4236   -8449.2196  0.3364 
   00259    0.4204   -8442.4803  0.3465 
   00260    0.4136   -8437.7011  0.3487 
   00261    0.4156   -8445.7963  0.3426 
   00262    0.4224   -8412.0466  0.3455 
   00263    0.3988   -8405.2054  0.3501 
   00264    0.4212   -8447.4719  0.3395 
   00265    0.4040   -8424.9967  0.3383 
   00266    0.4160   -8412.0389  0.3358 
   00267    0.4188   -8355.6015  0.3321 
   00268    0.4120   -8389.8339  0.3394 
   00269    0.4192   -8431.5545  0.3467 
   00270    0.4116   -8424.6215  0.3456 
   00271    0.3976   -8423.5353  0.3471 
   00272    0.4104   -8443.0554  0.3404 
   00273    0.4076   -8471.6924  0.3437 
   00274    0.4008   -8485.5409  0.3527 
   00275    0.4104   -8471.7969  0.3488 
   00276    0.3980   -8436.0617  0.3490 
   00277    0.4168   -8421.9541  0.3433 
   00278    0.4188   -8427.2584  0.3413 
   00279    0.4204   -8443.7909  0.3513 
   00280    0.4112   -8490.4987  0.3480 
   00281    0.4068   -8497.6414  0.3507 
   00282    0.4212   -8464.5140  0.3458 
   00283    0.4188   -8464.8495  0.3422 
   00284    0.4236   -8462.2038  0.3469 
   00285    0.4208   -8443.6342  0.3527 
   00286    0.4084   -8419.5620  0.3509 
