numba_parallel.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.377, Time: 0.029685 s
         1743071 function calls (1714811 primitive calls) in 1.440 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      718    0.081    0.000    0.081    0.000 {built-in method marshal.loads}
     7559    0.079    0.000    0.140    0.000 inspect.py:875(cleandoc)
    84/83    0.043    0.001    0.048    0.001 {built-in method _imp.create_dynamic}
6831/6217    0.034    0.000    0.043    0.000 {built-in method __new__ of type object at 0x560b5701b660}
3058/2966    0.032    0.000    0.476    0.000 {built-in method builtins.__build_class__}
1878/1875    0.030    0.000    0.050    0.000 ffi.py:195(__call__)
      227    0.026    0.000    0.081    0.000 artist.py:1433(get_aliases)
     3155    0.024    0.000    0.024    0.000 {built-in method posix.stat}
202439/201063    0.022    0.000    0.022    0.000 {built-in method builtins.len}
      461    0.022    0.000    0.022    0.000 {built-in method builtins.dir}
   106618    0.021    0.000    0.021    0.000 {method 'startswith' of 'str' objects}
        1    0.021    0.021    0.428    0.428 numba_parallel.py:291(main)
    90137    0.021    0.000    0.022    0.000 {built-in method builtins.getattr}
    10258    0.021    0.000    0.021    0.000 {method 'search' of 're.Pattern' objects}
      718    0.019    0.000    0.019    0.000 {built-in method _io.open_code}
       65    0.019    0.000    0.020    0.000 <frozen abc>:110(register)
      227    0.017    0.000    0.055    0.000 artist.py:1511(get_setters)
   100676    0.016    0.000    0.021    0.000 {built-in method builtins.isinstance}
      724    0.016    0.000    0.016    0.000 {method 'read' of '_io.BufferedReader' objects}
    90195    0.016    0.000    0.016    0.000 {method 'lstrip' of 'str' objects}
       64    0.015    0.000    0.016    0.000 {built-in method _io.open}
    67469    0.014    0.000    0.014    0.000 {built-in method builtins.min}
     4409    0.014    0.000    0.169    0.000 artist.py:1461(get_valid_values)
        3    0.013    0.004    0.013    0.004 {built-in method _ctypes.dlopen}
  625/271    0.012    0.000    0.031    0.000 _parser.py:512(_parse)
     7413    0.012    0.000    0.021    0.000 inspect.py:2712(__init__)
20944/20936    0.011    0.000    0.014    0.000 {method 'join' of 'str' objects}
      718    0.010    0.000    0.092    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
     1156    0.010    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     1087    0.009    0.000    0.031    0.000 templates.py:887(make_overload_template)
    50262    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
      885    0.009    0.000    0.029    0.000 inspect.py:2366(_signature_from_function)
32701/32465    0.009    0.000    0.032    0.000 {built-in method builtins.hasattr}
    84/71    0.009    0.000    0.042    0.001 {built-in method _imp.exec_dynamic}
23688/23379    0.009    0.000    0.014    0.000 abstract.py:121(__hash__)
     9622    0.008    0.000    0.008    0.000 {method 'split' of 'str' objects}
  2241/27    0.008    0.000    0.086    0.003 context.py:407(install_registry)
    16683    0.008    0.000    0.017    0.000 utils.py:475(stream_list)
      127    0.008    0.000    0.011    0.000 {built-in method builtins.eval}
    25993    0.008    0.000    0.013    0.000 {method 'get' of 'dict' objects}
     1565    0.008    0.000    0.024    0.000 <frozen importlib._bootstrap>:304(acquire)
    775/1    0.007    0.000    1.441    1.441 {built-in method builtins.exec}
      835    0.007    0.000    0.074    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
5624/4628    0.007    0.000    1.128    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     7209    0.007    0.000    0.067    0.000 __init__.py:280(_compile)
     1222    0.007    0.000    0.010    0.000 inspect.py:2998(__init__)
