#=====================================================
# File created:        Thu-20-Feb-2025-at-12-12-18PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.024974
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2520.3709  0.2845 
   00001    0.6788   -3735.5115  0.2851 
   00002    0.6108   -4463.2540  0.2986 
   00003    0.5748   -5061.8567  0.3108 
   00004    0.5740   -5444.0043  0.3186 
   00005    0.5468   -5800.4356  0.3215 
   00006    0.5284   -6082.7231  0.3318 
   00007    0.5100   -6271.7360  0.3339 
   00008    0.5076   -6461.8008  0.3418 
   00009    0.4852   -6618.1040  0.3447 
   00010    0.4780   -6750.0116  0.3543 
   00011    0.4800   -6915.2367  0.3574 
   00012    0.4724   -7055.8714  0.3573 
   00013    0.4668   -7160.6961  0.3645 
   00014    0.4628   -7234.3560  0.3712 
   00015    0.4604   -7276.3369  0.3694 
   00016    0.4760   -7355.1913  0.3689 
   00017    0.4556   -7438.2700  0.3719 
   00018    0.4520   -7475.5771  0.3687 
   00019    0.4532   -7530.4274  0.3674 
   00020    0.4412   -7621.1010  0.3765 
   00021    0.4504   -7670.9679  0.3872 
   00022    0.4416   -7710.1050  0.3884 
   00023    0.4240   -7750.7977  0.3936 
   00024    0.4352   -7781.7520  0.3964 
   00025    0.4360   -7849.9760  0.4096 
   00026    0.4468   -7865.2497  0.4170 
   00027    0.4220   -7879.1196  0.4254 
   00028    0.4472   -7907.1030  0.4255 
   00029    0.4364   -7921.8261  0.4280 
   00030    0.4092   -7904.1150  0.4266 
   00031    0.4544   -7903.0104  0.4337 
   00032    0.4556   -7897.8028  0.4323 
   00033    0.4388   -7930.6608  0.4296 
   00034    0.4372   -7988.9242  0.4357 
   00035    0.4352   -7984.3560  0.4424 
   00036    0.4288   -8051.3111  0.4484 
   00037    0.4340   -8088.5051  0.4466 
   00038    0.4416   -8062.7629  0.4477 
   00039    0.4288   -8060.9984  0.4484 
   00040    0.4264   -8057.1938  0.4502 
   00041    0.4464   -8039.2152  0.4504 
   00042    0.4312   -8045.2062  0.4523 
   00043    0.4304   -8091.1125  0.4507 
   00044    0.4200   -8118.4291  0.4585 
   00045    0.4200   -8133.5493  0.4653 
   00046    0.4260   -8158.1667  0.4706 
   00047    0.4032   -8188.4192  0.4743 
   00048    0.4148   -8124.1260  0.4740 
   00049    0.4172   -8130.0666  0.4809 
   00050    0.4228   -8156.5754  0.4823 
